re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,step_ratio
1.531706276034747916e+01,4.996450022348147257e+01,2.062799524598144885e+01,1.382887665514068658e+02,1.610792215436510730e+02,3.622908368214750485e+00,1.201478568117398671e-01,7.229097153893830896e-01,1.694406722050765168e+01,6.823618068531024372e-01,4.479759028035979473e-01,1.813690013065831996e+00
1.537982514721927707e+01,5.038217622595813339e+01,2.063025315920136293e+01,1.374822831719905594e+02,1.626866490057913950e+02,3.624722985127949215e+00,2.328045673625966580e-02,7.089585328345444637e-01,1.676245374985034076e+01,6.466089774764658404e-01,4.419234710723016213e-01,1.799311346633389208e+00
1.996253528193942373e+01,3.677280870015242442e+01,2.032403891952712982e+01,1.419248793614391673e+02,5.126207175306650470e+02,2.731626132785968331e+00,-3.578238302573616414e-02,7.409426442137744262e-01,1.891526589346068477e+01,1.629772038663550304e-01,2.951061791834826753e+00,1.036546148674169388e+00
1.837967011338772849e+01,2.481785894780080071e+01,2.127924213025645273e+01,7.048746936880351655e+01,1.306503757915086226e+02,3.417416471280147583e+00,-6.532702977358681440e-02,5.039490209521372277e-01,1.255648656691559140e+01,5.898025893274553288e-01,1.954377111582264459e-01,1.340407620414557632e+00
1.959902197528505496e+01,3.076190667318563854e+01,2.189910327559966063e+01,1.234250538096626997e+02,3.526124082432710907e+02,2.934246789760023955e+00,-2.481202742649445125e-02,7.577787027079775362e-01,1.796696393878580622e+01,2.970738182692309048e-01,1.627308318764422834e+00,1.248486537557815357e+00
1.742413724417765053e+01,3.380940372198787003e+01,1.845128656578639337e+01,6.990585846192925601e+01,2.437451977730548549e+02,2.251928848648976356e+00,-7.048921918092093675e-02,5.549505230778626341e-01,1.371401177457614118e+01,3.985647191253212096e-01,1.310376900415008095e+00,1.121374668696723420e+00
1.753850908308377754e+01,2.524713250201737935e+01,1.980547243391902512e+01,8.105975565480976286e+01,2.031458491123934209e+02,3.407085089214016982e+00,1.788925973679309639e-02,3.958103026268399716e-01,1.419648711367101157e+01,4.685655539434816497e-01,2.825181030775170132e-01,1.275219863105466311e+00
1.502485180301558820e+01,5.115456191212766868e+01,2.079884649189509105e+01,1.317190915168125969e+02,1.635085953419917359e+02,3.782376491280182940e+00,1.696590714346302153e-01,6.970916149931888350e-01,1.687088429863785422e+01,7.079242176850342183e-01,4.275335977437066393e-01,1.916276196981776758e+00
1.864436052067410543e+01,2.782596323319869569e+01,2.170042056669658947e+01,6.593455307186350467e+01,1.285559609354652650e+02,3.635447680165047935e+00,-7.088302165611075345e-02,3.647018252252074988e-01,1.204020072004393782e+01,5.957053693962960361e-01,1.864920875822933533e-01,1.354694343050841798e+00
2.000000000000000000e+01,3.030002172316136821e+01,2.150793909757874900e+01,1.506599086533340994e+02,4.884468990476568706e+02,2.041055409052488834e+00,-1.774762341904288429e-02,8.000000000000000444e-01,1.982171413954767658e+01,2.102607307430167660e-01,2.082738778134260116e+00,1.156478610562891474e+00
