s0,d0_mm,d1_mm,Rf_rayl,phi,G_speech_dB,ripple_dB,refl
7.073394114918000238e-04,8.463991195456921801e+00,1.199862469971914258e+01,5.625281901555661079e+01,8.675682719498273299e-01,2.115964669946723831e+01,2.461974610789946638e+01,4.935627800187356584e-01
3.117534479073937395e-02,8.413243107428279188e+00,1.200000000000000000e+01,5.644697312732742489e+01,8.668263920632556241e-01,2.013303302717254795e+01,1.424427627254115869e+01,4.571907651016673957e-01
1.620361173775892449e-01,8.995247677004607922e+00,1.199150070959027303e+01,6.000000000000000000e+01,8.931761082486708858e-01,2.001131882438552267e+01,9.042876641120969339e+00,3.738024408911881369e-01
2.558862309900643284e-02,8.460879417889362486e+00,1.200000000000000000e+01,5.660708669452804997e+01,8.753103000523337895e-01,2.137345061879786456e+01,3.740949149950824903e+01,4.755641013670304784e-01
3.748905236076020570e-03,8.460122916633814327e+00,1.199995370648077575e+01,5.630592581084405879e+01,8.659354690698609636e-01,2.223196791467306355e+01,4.974932017023378705e+01,4.798114734024274131e-01
2.344089469632505418e-01,9.020521578633708515e+00,1.200000000000000000e+01,5.977532820574376160e+01,9.020222484190597578e-01,1.964896221261243170e+01,6.571399278631975704e+00,3.165339301632090208e-01
1.982656975123239795e-01,9.002665371486372692e+00,1.179020876202373103e+01,6.000000000000000000e+01,8.988402671006620048e-01,2.005450166280170521e+01,9.761155677124492058e+00,3.345179969297487066e-01
1.811723202666874494e-03,8.460698133954039690e+00,1.200000000000000000e+01,5.646465516520203209e+01,8.649050442204681000e-01,2.204230428607264614e+01,4.323668946047375528e+01,4.884506944302653419e-01
3.043644016624910513e-03,8.477259906573785031e+00,1.200000000000000000e+01,5.993524025581232451e+01,8.703251131067166746e-01,2.096613145743635087e+01,1.685818431920751692e+01,5.207208572972669147e-01
0.000000000000000000e+00,8.460638187610443950e+00,1.199995748286326958e+01,5.667370999224351635e+01,8.640423238850485355e-01,2.310963251736884061e+01,6.520368013378505623e+01,4.887552646348241048e-01
2.398289885400295141e-01,7.948087140239583626e+00,1.200000000000000000e+01,5.982909136345166701e+01,8.982033172282586353e-01,1.922031894745690295e+01,7.861965134448343662e+00,2.844786080548936114e-01
0.000000000000000000e+00,8.480809459068344935e+00,1.200000000000000000e+01,5.667494696794118170e+01,8.635259742061390797e-01,2.160263036802095016e+01,3.389458971480095784e+01,4.910069883547718006e-01
2.512758674134254466e-01,5.249996744660310632e+00,1.200000000000000000e+01,5.014882485576833915e+01,9.113728490297118290e-01,1.866460513796494070e+01,9.487411223809996130e+00,2.634308357434282932e-01
