re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost,exit_deg
2.000000000000000000e+01,5.391017140402123431e+01,2.020658082158969293e+01,1.299373492738780271e+02,5.575939586790840394e+02,2.236803088712441934e+00,2.148889613614426639e-02,2.058292887060794440e-01,1.719474438129635629e+01,1.612693586748943919e-01,3.044988809253197815e+00,2.366517806790852418e+01
1.889618864936421616e+01,1.006710930105099777e+01,2.216684815979055756e+01,1.348892230769041305e+02,4.309969909851741932e+02,1.565412888835358896e+00,-1.859504178769202376e-01,7.493120519512597166e-01,1.791417010088279227e+01,3.512481900267558355e-01,1.934842568527459061e+00,2.234621506760570142e+01
1.996071053707573029e+01,1.575027278668699005e+01,2.122943024030583103e+01,1.525948231411641700e+02,5.105241274439698600e+02,1.397930306441093284e+00,-1.619087636225065296e-01,7.549359389214839178e-01,1.867381303246503421e+01,2.860870362924333166e-01,3.261182218062909755e+00,1.988831945577334537e+01
1.990175834994599668e+01,2.534154730824987212e+01,2.376079063122140411e+01,8.258902963483660642e+01,1.493113582137128788e+02,1.082122176016009130e+00,-1.058797016083240089e-01,5.356253012098074473e-01,1.409884466049394902e+01,5.324445568847456789e-01,3.014372363998976678e-01,2.308504699982546882e+01
1.726758555698941322e+01,2.898757180331266525e+01,1.774747757101279788e+01,6.104726351946325025e+01,1.617854275840160483e+02,3.138934072631234695e+00,-1.472250455494036048e-01,5.738279342371468417e-01,1.039123103621652078e+01,6.354606871019161662e-01,1.912674659243448760e-01,3.981782434659033498e+01
1.630095398923102223e+01,4.705683429812556540e+01,1.706262454362103043e+01,6.000000000000000000e+01,1.540358380536764002e+02,2.373295694310596282e+00,-2.836649740592498900e-02,3.788898049306309579e-01,1.181640649276095267e+01,4.841474959277096701e-01,2.014100241978027672e-01,3.335741449125248437e+01
1.745423675998777213e+01,4.350390840105491463e+01,1.784251002187178159e+01,6.000000000000000000e+01,1.696427866044328994e+02,2.208688962959262092e+00,-1.116923592439643571e-02,4.307054679928663532e-01,1.228145266350829878e+01,4.359907128128466258e-01,2.214211159301021081e-01,2.865693101129019382e+01
1.999915303234756436e+01,1.616669572433355384e+01,2.114226003353173056e+01,1.527073794815348720e+02,5.600858291089217573e+02,1.410499575003256290e+00,-1.618824288547692225e-01,7.596482760136443746e-01,1.879474498358910850e+01,3.021180813395397124e-01,3.364963200035532953e+00,1.844752487913302375e+01
2.000000000000000000e+01,2.541083425013019337e+01,2.350968902523876025e+01,8.433447337429214485e+01,1.780247090347100709e+02,1.180720111083038315e+00,-1.148185297529140253e-01,5.495635434348342674e-01,1.456096927886203929e+01,4.489321315187395633e-01,3.418620815500502674e-01,2.195681887053642356e+01
1.881346296871850399e+01,2.462991370325491047e+01,2.071575076100077695e+01,8.272428044758801491e+01,2.341382958613766050e+02,1.640313905503042013e+00,1.921765426910611307e-02,5.445391575217417568e-01,1.496049540296397495e+01,3.838059033526013408e-01,1.381405416449357659e+00,2.343296155146322235e+01
2.000000000000000000e+01,1.559843600534548358e+01,2.135759614233198533e+01,1.399571118744523517e+02,4.919919278892770649e+02,1.503666012475810776e+00,-1.860478694659782328e-01,7.625692725886106249e-01,1.826031099812892222e+01,2.527561594489433072e-01,2.096860665349946196e+00,2.007049905744284857e+01
1.952469042986475145e+01,5.554115167060480474e+01,2.231487146918165365e+01,1.327512336892091867e+02,5.722657386671619406e+02,2.237456836356209511e+00,1.580495921242452972e-02,2.011582222014249854e-01,1.750580639410109285e+01,2.240628927636855450e-01,3.111112076664425352e+00,2.326186609483119483e+01
2.000000000000000000e+01,5.251281227215289249e+01,2.003282129820991386e+01,1.299543551444272964e+02,5.726224199536108017e+02,2.202864195551207160e+00,5.569268230462341013e-02,2.000000000000000111e-01,1.733941524829549152e+01,1.790997845658824084e-01,3.080641982050159378e+00,2.283351039807802252e+01
2.000000000000000000e+01,1.060100245645827677e+01,2.208251766436620755e+01,1.321806877788310999e+02,4.628300878316614444e+02,1.495536728176304120e+00,-1.989601665392721486e-01,7.998386218989029794e-01,1.790260099850842224e+01,2.412479941783390869e-01,1.996909992960343105e+00,2.011843439211702744e+01
1.994982416331761144e+01,2.534130895006484963e+01,2.371592000004637768e+01,8.293880846273701479e+01,1.268323678156246643e+02,1.107068500040066628e+00,-1.062287893871947803e-01,5.349355560345137039e-01,1.367568352572552293e+01,5.478361221000229708e-01,2.688733569896669673e-01,2.732696574424403479e+01
1.910388089239021525e+01,2.752217775290541724e+01,2.385992939871170293e+01,9.654605977621140767e+01,1.979429933182481136e+02,1.177678341837810505e+00,-1.606255158519661122e-02,5.174323122697294108e-01,1.526272879504809410e+01,5.048689199102703862e-01,4.224197509646618887e-01,2.337290177181751361e+01
1.888001502414329735e+01,2.687520553342671903e+01,2.218391278781076892e+01,1.220514991386106374e+02,3.581299417343602727e+02,1.863788319296000751e+00,-6.708139507801859358e-02,4.113667810286663618e-01,1.670334395126687710e+01,3.530506015490531002e-01,1.709191352838918654e+00,2.739000099744685457e+01
1.643733211211337064e+01,4.694029218144981996e+01,1.662602054657402206e+01,6.084036407921744427e+01,1.526014373872535259e+02,2.456144723933670448e+00,-2.191691026760531763e-02,4.479455009383042086e-01,1.165076385126566016e+01,4.759496276295409611e-01,1.997198726866951379e-01,3.529620863477446591e+01
1.998605914286104479e+01,2.409381824110831971e+01,2.389414392041959800e+01,7.966004814369361497e+01,1.430117345786869976e+02,1.138162763504486863e+00,-7.137078904281554670e-02,5.516122485835922573e-01,1.392988610576554720e+01,5.117482128829584642e-01,2.813172978967584670e-01,2.392184081494732339e+01
1.979941169042081128e+01,1.516659172577111114e+01,2.119292260546961870e+01,1.503584571329696473e+02,4.894363508883190548e+02,1.349696102328710179e+00,-1.630589166949211744e-01,7.547897902381488500e-01,1.853977541494848680e+01,2.954496473177821714e-01,2.214077327206754653e+00,1.971708314561687558e+01
1.886357410514603572e+01,2.691837133613560695e+01,2.331038156845502840e+01,1.223459964827380873e+02,3.693959832121167324e+02,1.802125278093666738e+00,-6.704046254087465961e-02,3.461616918294912471e-01,1.692476912949906875e+01,3.675043169477172356e-01,1.746419014889248889e+00,2.572326621362486776e+01
2.000000000000000000e+01,1.500756624220430524e+01,2.117761949760746631e+01,1.335097395422140494e+02,4.978573307541200847e+02,1.512734404564541668e+00,-1.961142099835228858e-01,7.648934694547487867e-01,1.821223274937026915e+01,2.533947699509019325e-01,2.057697129375998024e+00,1.900672150184480103e+01
1.963093683443204540e+01,5.287778925988687462e+01,2.016163487856508141e+01,1.357331125179910600e+02,5.770082355438529476e+02,2.220446588789522835e+00,1.962260919585866181e-02,2.085720095451756573e-01,1.750165551756938953e+01,1.568146917819923936e-01,3.115458050279571900e+00,2.388401950570571941e+01
1.654072459234754433e+01,2.900362637998082604e+01,1.763121974996815666e+01,6.000045888709465203e+01,1.727196836288558472e+02,3.071770303847308536e+00,-1.168864909000578434e-01,5.103722500366469905e-01,1.091193872950831611e+01,5.932893856232902552e-01,1.976505443515990945e-01,3.679515129295617726e+01
1.753665659842170754e+01,4.362860386462934770e+01,1.785963902645122658e+01,6.605821722222962933e+01,1.916618842917151539e+02,2.167950140447245655e+00,-1.592680714631456926e-02,4.280479126305768434e-01,1.293050749862708493e+01,4.187204628814400476e-01,1.257297883761648860e+00,2.849827153478779707e+01
1.996071424307701747e+01,1.557049231375766496e+01,2.129216947244733760e+01,1.536274889246208772e+02,5.096432359886738936e+02,1.355230127028958398e+00,-1.785361959333072734e-01,7.858701133593535282e-01,1.876521310358975470e+01,3.105102197772788841e-01,3.283552039445504001e+00,1.974243602734389924e+01
1.933085853722594649e+01,4.364871032949336183e+01,2.020910463560576176e+01,1.262663046526127459e+02,5.484658652294085641e+02,2.409625576294466942e+00,2.302416019053751470e-02,2.267265853817906351e-01,1.699960369438664642e+01,1.886013765693267674e-01,2.973649687304507516e+00,2.487278698369037144e+01
1.910825818025378808e+01,2.843748456842276084e+01,2.382322799421553228e+01,9.681108125661454267e+01,1.733947441739200599e+02,1.178716744102006331e+00,-1.929542612851785008e-02,5.111057287223970125e-01,1.479694653215476308e+01,5.191498847881761414e-01,3.831933930264065369e-01,2.637430183476199375e+01
