re,Le,rt,ra,rb,rm,L,G_dB,refl,Pcost
1.711254796114582177e+01,4.152956424286389847e+01,1.764156743305682085e+01,3.567531958070959774e+01,1.184731223226723813e+02,1.391287650883391791e+02,3.022902550707511296e+02,1.803599042927229235e+01,5.088023586342586002e-01,1.839029399160671652e+00
1.970453359069259847e+01,1.647332941243267967e+01,2.084930244231176388e+01,3.823306765278626074e+01,9.548551540339673238e+01,1.549098182503495593e+02,5.341698758284262567e+02,1.833199670535413262e+01,2.634790779713455655e-01,3.284610687761674086e+00
1.902237914421174736e+01,1.647412574170069277e+01,2.034592875420575453e+01,3.490474011709647328e+01,7.100417265040671566e+01,9.476736302908841481e+01,2.077689964098346991e+02,1.537310006582042021e+01,4.544803814518864615e-01,4.090083137968899551e-01
2.000000000000000000e+01,2.189148143905201849e+01,2.017959207703323798e+01,3.287114242869105141e+01,7.345044385203169668e+01,1.461787165966183011e+02,5.149719730576147185e+02,1.681407829288733069e+01,1.949025170668315932e-01,3.075766365474308817e+00
1.654638184439743043e+01,4.013248513577862298e+01,1.774746341418536488e+01,3.672459513681724985e+01,1.079308326767289117e+02,1.265721489708641769e+02,3.739550336826889634e+02,1.824548918605251657e+01,4.665011334362996753e-01,1.913570550164803930e+00
1.317420118672233897e+01,1.000000000000000000e+01,1.370134123628903922e+01,1.300000000000000000e+01,1.601373869674548445e+01,6.004642084703768035e+01,2.000000000000000000e+02,9.659791058948762554e+00,6.422932545427565421e-01,1.710428548187678810e-01
1.990865988980500845e+01,2.506726092534198713e+01,2.045829021818982341e+01,2.535354275176014482e+01,5.061356168439512970e+01,7.658547263368734548e+01,2.637200490526959697e+02,1.460091458519119634e+01,3.728471514992979241e-01,1.388616983235906321e+00
1.672236306574950859e+01,4.417892861054717457e+01,2.037822663917025778e+01,3.527857895641588470e+01,1.206114874413509170e+02,1.355918382664513331e+02,2.700840725191355318e+02,1.777845091047383974e+01,5.732457581479480924e-01,1.778578563682953195e+00
1.527181994404010190e+01,2.112585068723520365e+01,1.646036397414948382e+01,1.437030766154933303e+01,2.893448384498172032e+01,6.000000000000000000e+01,2.000000000000000000e+02,1.173475976471707050e+01,5.213729842666594561e-01,2.084733550307550642e-01
1.912832462071137130e+01,3.787757633203846552e+01,1.993398942531834805e+01,4.427090637359633973e+01,1.022695624815506790e+02,1.550000000000000000e+02,5.790733315570952300e+02,1.905678160230982954e+01,2.635625175335403747e-01,3.464375611200602556e+00
2.000000000000000000e+01,2.198336097566507163e+01,2.097556595523575140e+01,2.132625290110937044e+01,3.828098212226566233e+01,6.334016126657245138e+01,2.004922541875892819e+02,1.281873143711501228e+01,4.277620581629857366e-01,2.576475333098045550e-01
2.000000000000000000e+01,2.598820354653773990e+01,2.049509162075152702e+01,3.090686547721388777e+01,7.912090684295883136e+01,1.440363374399285021e+02,5.823772717174954323e+02,1.759860693702399814e+01,2.040723700851573286e-01,3.211070612357196374e+00
1.906697526940152443e+01,2.881979459522883147e+01,2.001793468470364701e+01,3.894859851809810891e+01,1.063658960616280069e+02,1.540847039108575416e+02,4.591296801793739633e+02,1.875014139553584869e+01,3.103744372614209990e-01,2.180856504357029380e+00
