rt,rm,L,k,H0,H1,r1,ffold,G_dB,refl,Pcost,fc_Hz
1.867174551033522434e+01,1.193745650118150223e+02,7.565601710800568753e+02,1.078283140971286747e-01,1.054630384811556496e+02,1.808192790881066117e+02,4.384560957321334485e+01,6.944401804719374516e-01,1.769557672632626577e+01,2.435279066380982294e-01,3.341288606471553901e+00,1.338672432624462374e+02
1.501435300325025679e+01,5.176736267580537287e+01,3.000001096430318057e+02,2.223010708916852152e-01,4.000395718649918564e+01,8.065900276651622391e+01,3.402358165718523964e+01,8.884278601886379523e-01,1.236637825837597937e+01,4.804473988400480011e-01,2.022578736462934845e+00,2.252303557098278191e+02
2.052608116624035972e+01,8.152795926330020393e+01,3.000000000000000000e+02,2.353194281272336930e-01,4.488223980759779153e+01,1.307849872904932056e+02,3.219962089865395427e+01,8.457378762097401692e-01,1.514165830704755145e+01,3.362364765733971139e-01,2.176798895215214635e+00,2.509781374972597803e+02
2.306056484060534473e+01,9.823136535583323337e+01,3.000000000000000000e+02,1.798586171436000747e-01,9.188954199658937227e+01,1.134725200798760625e+02,3.110905795561221510e+01,6.840730304887633340e-01,1.560303231437115734e+01,2.584351289040396349e-01,2.286325482497002071e+00,2.637070796499780272e+02
1.757701756434460805e+01,5.474815027057960037e+01,3.000000000000000000e+02,2.262264273764581224e-01,5.464663251223610985e+01,8.000000000000000000e+01,3.401917073540134595e+01,8.307517551809635581e-01,1.264574923563077569e+01,4.479847640384447272e-01,2.059146159179273017e+00,2.067422257856273120e+02
1.735002801788178672e+01,5.286937598882680334e+01,3.046089956120506486e+02,2.276746076626337545e-01,4.163240970525638573e+01,8.000000000000000000e+01,3.399709482335305921e+01,8.304602461235279787e-01,1.252050499846487419e+01,4.716870493042635282e-01,2.048489409563758024e+00,1.996854546477011070e+02
2.420427294567898002e+01,1.230000000000000000e+02,3.005191735987436346e+02,1.709975031088676323e-01,8.179066112125286736e+01,2.462894831242691680e+02,3.346600190704230471e+01,7.959432250960437605e-01,1.537626469133347307e+01,2.032108583721736750e-01,2.412891083864880937e+00,2.953047925608964306e+02
1.714894731097801639e+01,1.187694994723597262e+02,7.665970777738323250e+02,1.070183028654432961e-01,1.002574099122888924e+02,2.134620785043757678e+02,4.522204096101369686e+01,6.815310759790287332e-01,1.780837893770750568e+01,2.752105461282882692e-01,3.375630323061393767e+00,1.378109367573046029e+02
2.387988217327899321e+01,9.937666180018896966e+01,3.356706046596481201e+02,1.872330282174207161e-01,9.315584398220403273e+01,1.120790417908960990e+02,3.126326595321316759e+01,7.025488543362529148e-01,1.580727681929490558e+01,2.299467240384671651e-01,2.369309206064539985e+00,2.318911662928846056e+02
1.547980787177971251e+01,1.230000000000000000e+02,8.132244203041437913e+02,1.127739016599611649e-01,9.467827137347104838e+01,2.351615914907331160e+02,4.549891627374664438e+01,6.772816186231923608e-01,1.833516327572522187e+01,3.632570173253044099e-01,3.507247256340167763e+00,1.391327504356798102e+02
1.877779283552483847e+01,1.230000000000000000e+02,8.389141033243744232e+02,9.971554850778970025e-02,1.026298936632113481e+02,2.381068064245712321e+02,4.499151736768492782e+01,6.779701939521622922e-01,1.846998430212927289e+01,3.001246816495053427e-01,3.650144709382597163e+00,1.223041692100270978e+02
1.500983448424735833e+01,1.190318645502925534e+02,5.842845574678756293e+02,1.754833389529047993e-01,9.900700592509006981e+01,1.324338004163903975e+02,4.327389730091362452e+01,6.047526234397831990e-01,1.735767225580143958e+01,3.486594727598424370e-01,2.876771664488403601e+00,1.934657131407030306e+02
2.398749058756856201e+01,1.228090821409226265e+02,3.507702379491975080e+02,1.702817249259043486e-01,7.455004317562109861e+01,2.362926116646418677e+02,2.654231592932405093e+01,7.991968655218644191e-01,1.612236479832247227e+01,1.865876228898368794e-01,2.513062176579259344e+00,2.541580647635721562e+02
