re_mm,Le_mm,rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,salience_dB,refl,print_cost,step_ratio
1.406675051704190516e+01,4.628603228491272148e+01,2.046993093147021270e+01,1.067358175897178683e+02,1.585183092805478111e+02,3.347651933406658564e+00,2.161511120313438505e-01,8.000000000000000444e-01,2.810377505689513100e+01,6.426309740698054052e-01,3.294166453634389535e-01,2.117606125313211241e+00
1.992094175920790988e+01,2.895839915358747874e+01,2.170329988553045553e+01,1.550000000000000000e+02,5.800000000000000000e+02,1.685549944245401610e+00,1.147980289702667939e-03,7.805759666863278934e-01,3.082708109171769451e+01,2.260795896039030639e-01,3.389645714740282756e+00,1.186948322756842034e+00
1.586177213492761773e+01,4.110929683102472154e+01,2.081305964277179044e+01,1.208326252034702861e+02,1.668766715474385762e+02,3.518658200582892359e+00,2.120071391873329381e-01,7.560298444065213230e-01,2.921839060635533869e+01,6.405302321753997274e-01,3.886262129939620502e-01,1.721743468766728125e+00
1.888667765712671098e+01,3.613186877248900686e+01,1.919721347890280683e+01,7.627892838946274878e+01,2.440483227361025058e+02,2.061494914811439205e+00,-1.248589596629093648e-02,5.986494566715524490e-01,2.575303933720834237e+01,3.418745421494213677e-01,1.348315300227767910e+00,1.033154454290871715e+00
1.925156641000071289e+01,3.494733399386417716e+01,2.500093638755768666e+01,9.651520454157832773e+01,1.231915009488491535e+02,2.200821848026855765e+00,-1.383551193446528119e-02,6.086830126806168639e-01,2.693654658971752269e+01,5.443959003048873813e-01,2.826965489929285091e-01,1.686476937398093012e+00
1.915335172403922925e+01,4.011186122560130940e+01,1.946293218217434884e+01,8.243227844847318408e+01,2.661324927678463723e+02,1.995141792132271830e+00,-2.663774843845248541e-02,5.873172954030576598e-01,2.614144700648735409e+01,3.435145812650655661e-01,1.400106802171917186e+00,1.032587755518967754e+00
1.924827608253960065e+01,3.516001701989395656e+01,2.207677882474479247e+01,9.941064783456019427e+01,1.354085076837234851e+02,1.812246698417120383e+00,-1.272551881162842062e-02,6.085621728239918315e-01,2.729285550662775961e+01,4.986505118396674097e-01,3.068775432416109838e-01,1.315490557077707345e+00
1.384229070880786061e+01,3.992284429896665898e+01,1.592485313522843171e+01,6.000000000000000000e+01,1.426936966806090084e+02,3.219734529630026376e+00,9.350126485012087707e-02,5.390485172284410487e-01,2.315169778794681577e+01,5.895236441420935725e-01,1.763373504241994849e-01,1.323533505249333331e+00
1.222291943160720962e+01,2.697926362839282532e+01,1.990635553012421255e+01,1.547335311471741761e+02,1.784495226844408933e+02,2.678810824196226292e+00,2.056281654334276565e-01,5.374457001249908217e-01,3.166139634788973467e+01,7.534503825993584814e-01,5.744813512834465730e-01,2.652366991750290559e+00
1.424213230640921068e+01,4.564053756693083841e+01,2.003375443518476828e+01,9.946375937300253156e+01,1.567535851875460367e+02,3.541927792635788386e+00,1.697539284159451101e-01,7.799324086649489507e-01,2.744745988861021502e+01,6.218880218746792865e-01,2.996710012918356036e-01,1.978675882210761516e+00
1.214882778893022852e+01,2.601236342052662209e+01,2.419500779056724937e+01,1.373021722117863135e+02,2.494977928283882420e+02,2.415525552912238805e+00,-2.671480130803660993e-02,5.352298846508951602e-01,3.094353546316440173e+01,7.431097424413476427e-01,1.576233291423239091e+00,3.966274617983374995e+00
1.101646544916650683e+01,2.700163343946027794e+01,2.354880951218801144e+01,1.550000000000000000e+02,1.708849584332209304e+02,2.688012403507425763e+00,2.442884776375302547e-01,5.730039578937181632e-01,3.255740096035139430e+01,8.300513025615748885e-01,5.861065844596505814e-01,4.569338792559811679e+00
1.862226500913033789e+01,3.954246880815599496e+01,1.875072090919490364e+01,8.906214510993929423e+01,3.028305538590647643e+02,2.144139071495088977e+00,2.292411139047730723e-02,5.439247311754811243e-01,2.626665118453598780e+01,3.173554525719166075e-01,1.460031604852055409e+00,1.013843530068065490e+00
2.000000000000000000e+01,2.459165120288770723e+01,2.411653669457665572e+01,1.541002671971053815e+02,4.512458059956144893e+02,2.525624182616140079e+00,-4.563416488068615384e-02,6.739775975645458939e-01,3.095511431821457649e+01,2.547997193541305383e-01,1.975677020089470215e+00,1.454018355352155734e+00
1.764459520095551071e+01,3.681578696056144651e+01,1.895190768029786454e+01,6.000000000000000000e+01,1.920928822162126437e+02,2.593127235789148610e+00,-2.719385348592324309e-02,4.285097324069003233e-01,2.340572077704189979e+01,4.299407817870826154e-01,2.351517530948047663e-01,1.153672301278461543e+00
1.182544894297840088e+01,2.699547131291856772e+01,1.989511057484677181e+01,1.547804884724648105e+02,1.795313835653617787e+02,2.688263428620658146e+00,1.990453473783627414e-01,5.915784676611035575e-01,3.180535994315021497e+01,7.964690445223662207e-01,5.689157898828881565e-01,2.830462724262673202e+00
1.869598258708387206e+01,3.933959002082212209e+01,1.875965563299275374e+01,9.043114333558693829e+01,3.088475351022324844e+02,2.143405138749832961e+00,2.198916681511526791e-02,5.510317098491038790e-01,2.638410418516326672e+01,3.076350041694956849e-01,1.472695469905779042e+00,1.006823013606589878e+00
2.000000000000000000e+01,2.621650060023716478e+01,2.014603975366145860e+01,1.449016351709298362e+02,5.157572006186646831e+02,3.314346342296547565e+00,-5.814799708354383839e-02,7.151997439706208048e-01,2.989868265851558249e+01,1.906454800915116377e-01,2.895188830354074483e+00,1.014657294390269415e+00
1.169880024876214009e+01,3.429057143890887005e+01,1.248421257057283107e+01,6.175595412559514585e+01,1.211184493279945684e+02,3.911633331603081576e+00,-2.380068348933760819e-02,3.982782613013411965e-01,2.159415601794632522e+01,7.025840397709401941e-01,1.414845984579174154e-01,1.138779546854314262e+00
9.621080059984956634e+00,2.853868480760442594e+01,2.666235892695144827e+01,1.387728082454098910e+02,1.372741853024618024e+02,2.337013195383456310e+00,1.631176476395045372e-01,3.431787045891886989e-01,3.220224778955674338e+01,9.066152118233166135e-01,4.566400763210896607e-01,7.679792464848951283e+00
1.791342550074363160e+01,3.518095249184134587e+01,1.821326103609939295e+01,6.426360678605556132e+01,2.273665801864098626e+02,2.180919627691356499e+00,-2.425956903228958933e-02,4.906011417235245364e-01,2.471243547595543788e+01,4.237936836992893253e-01,1.283995206692841284e+00,1.033756230947759258e+00
1.998807598309963396e+01,2.002938737748965181e+01,1.999897655499056626e+01,1.460768630424284424e+02,3.995061851932443915e+02,2.725784679899793783e+00,-1.413224635590878409e-01,7.969574299780399773e-01,3.016315305112495082e+01,2.801898600423939345e-01,1.781354705402807159e+00,1.001091004880504620e+00
1.919060781842940244e+01,3.525905317069298661e+01,2.004722686467468762e+01,9.203479704806808570e+01,1.200133765608858170e+02,1.848359872671089921e+00,-2.661770825617819011e-02,6.069743172252852759e-01,2.664190466845226979e+01,5.220554878915569796e-01,2.609825059954642978e-01,1.091267320211932734e+00
1.276719813678567128e+01,2.650504119413187354e+01,2.654276324847478108e+01,1.419164611823933910e+02,2.948704664629978538e+02,2.384830542710259849e+00,1.894836216907792303e-01,5.401406997424647027e-01,3.128542039041676404e+01,7.286613297524225930e-01,1.733261749246568062e+00,4.322162291098210041e+00
1.827344816601345556e+01,3.410292537114398215e+01,1.852558033851346408e+01,7.632417014129558197e+01,2.405506299857901240e+02,2.199363063937260776e+00,-2.779883053017769001e-02,4.993637009247626213e-01,2.554685510133431592e+01,3.644235698980314297e-01,1.332413815884600616e+00,1.027785844957848527e+00
1.928235538165172258e+01,3.397992043240625293e+01,1.983803002137062421e+01,9.266586914509839801e+01,1.429306627385550144e+02,1.908957011656632563e+00,-2.296802330002262194e-02,6.033130803207575887e-01,2.650672484793862438e+01,4.783113368979521329e-01,2.865096543825355058e-01,1.058466020650414841e+00
1.827401370505754841e+01,3.454629747376714022e+01,1.886663142724283659e+01,7.065746873269632999e+01,2.407081778938641321e+02,2.197985974634351969e+00,-2.722831191255411024e-02,4.980823578443322464e-01,2.521277093414519399e+01,3.710538039916932429e-01,1.317924926379318906e+00,1.065910739672143448e+00
1.274198590846586576e+01,2.547779933066014024e+01,2.494194437155394439e+01,1.421148332455358627e+02,2.684329038270107617e+02,2.457436977399190425e+00,1.617738244832850891e-01,5.245073763946235257e-01,3.153756827339561752e+01,7.400408800329625336e-01,1.666504713639821222e+00,3.831654762685153148e+00
1.970520927549838675e+01,1.965840616408379304e+01,1.992904729592045143e+01,1.409826860834492948e+02,3.672189596668741842e+02,2.762830724884104860e+00,-1.442981079669664601e-01,7.995754152906031642e-01,2.974403230575790502e+01,2.986136264324975587e-01,1.706893097095811829e+00,1.022847699052950032e+00
