rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,refl,print_cost
1.347842107138370871e+01,6.141779937328648487e+01,1.202227286382512972e+02,3.899562568535786866e+00,-2.239845386909853353e-01,6.808370548656800247e-01,1.081064093662809356e+01,8.456134488291701112e-01,1.080252715196389490e-01
1.300000000000000000e+01,1.316347679384472542e+02,5.557231037198481545e+02,2.873454994655979089e+00,-1.832080218586412679e-03,3.596213655202677439e-01,2.221867659243740789e+01,1.697815422109357486e-01,2.817878088643015921e+00
1.300000000000000000e+01,6.014426313092044296e+01,1.539481722760464208e+02,3.793401055162395785e+00,-2.389690968816173822e-01,8.000000000000000444e-01,1.343044392458334357e+01,6.754518532423127164e-01,1.254648902643151764e-01
1.300000000000000000e+01,1.249751117568143570e+02,2.163957141173828518e+02,2.265563196671660506e+00,-1.143495643917097626e-01,6.058228452661866825e-01,1.923968320437585788e+01,5.728767362882293268e-01,4.030242836458768352e-01
1.326713577365337926e+01,1.473320798592850167e+02,5.257508664849879096e+02,3.000602511712902043e+00,3.706590754647667765e-04,3.506003363609487278e-01,2.286082012978210187e+01,1.892792069717801062e-01,1.859205355832099116e+00
1.329304695046553242e+01,1.480041995499990719e+02,3.985309855567132900e+02,2.884092890800884046e+00,1.665431127094726266e-02,3.762985164537925864e-01,2.246429883086114998e+01,2.857555325098326549e-01,1.712795853247887523e+00
1.300000000000000000e+01,6.002837463552807407e+01,1.471885808162577405e+02,2.903108898460309728e+00,-1.326151642639417094e-01,7.505017045212515336e-01,1.405223107817285211e+01,5.617000259869771028e-01,1.290725759444195930e-01
1.300000000000000000e+01,1.528664820422696664e+02,2.419296980508624415e+02,2.082435377485918337e+00,-1.902734484110612384e-02,6.899656582411699546e-01,2.100167284162874992e+01,4.609149455978713839e-01,5.827045741972706194e-01
1.300000000000000000e+01,8.038479692537421784e+01,1.889423708186934050e+02,3.149906233889873342e+00,-2.639536388276154666e-01,8.000000000000000444e-01,1.580286835242681143e+01,6.068380082870665770e-01,2.015214386624714638e-01
1.449214153278740902e+01,1.027316304982966386e+02,2.788934602289123177e+02,2.191212955471487867e+00,-1.351075125128924082e-01,6.351254353104546224e-01,1.849792763819759855e+01,4.053064126044558790e-01,1.394624903526913817e+00
1.300000000000000000e+01,8.263983761960837171e+01,2.459452226073497343e+02,3.652764064109481623e+00,-2.684722636075208002e-01,8.000000000000000444e-01,1.643832253065037818e+01,5.937562760812645779e-01,2.388047314692692547e-01
1.303017790600182302e+01,1.518112573253740720e+02,5.397453876309405132e+02,2.722624793038866287e+00,-7.630909102043555853e-03,4.781418981866879525e-01,2.323464547707523309e+01,1.788989810279184578e-01,1.935916959080538735e+00
1.983710445891519925e+01,1.550000000000000000e+02,5.323628740889979554e+02,2.210775219226678523e+00,-1.582534521904738634e-03,7.458052244907239503e-01,2.086228124308788523e+01,1.422287965717392022e-01,2.110135447397940567e+00
1.300000000000000000e+01,6.000000000000000000e+01,1.447416814469073358e+02,3.738332817217682624e+00,-2.051023390768694776e-01,8.000000000000000444e-01,1.324991782310626043e+01,6.651195815193279293e-01,1.205249342791065853e-01
1.339883367101522893e+01,6.566283150471048202e+01,2.111146687190939133e+02,3.277257357378620117e+00,-1.141257389591219529e-01,7.497292970289940461e-01,1.529298699897143266e+01,4.825432974189449720e-01,1.824279207497343236e-01
1.302277734870668624e+01,8.085408612510070725e+01,2.018997238021896123e+02,3.296764420640388771e+00,-1.213517647077954342e-01,7.632289898084122504e-01,1.631992627922097583e+01,5.318634598375824307e-01,2.119326423285921857e-01
1.415845279251733402e+01,1.180482301170540609e+02,2.236933390509024662e+02,2.314961493733001419e+00,-1.198660614551146919e-01,6.567571557498484980e-01,1.876094880101839735e+01,5.133864868822261007e-01,3.861261321607339925e-01
1.301707525593726089e+01,1.358139625091404241e+02,4.144873742570776471e+02,2.989543469174146484e+00,4.148682888930774366e-03,2.504746755352427190e-01,2.200102731428367164e+01,2.589979722418211394e-01,1.654059237114602343e+00
1.958347499820815329e+01,1.374395533858633200e+02,5.725496434628813631e+02,2.161676017552401241e+00,-4.675259638839454612e-02,7.336333391773821599e-01,1.981210040055740862e+01,1.299735499881001233e-01,3.056742970445333718e+00
1.300000000000000178e+01,1.488057583892876323e+02,5.104951490059459047e+02,2.744057435508282961e+00,-6.220275801520761157e-03,4.770782416511319401e-01,2.305137777200404514e+01,1.960763574131265952e-01,1.873417089064515872e+00
1.342687432469604225e+01,6.662920106662197384e+01,1.985430705922586583e+02,3.230189245703507517e+00,-1.235349585506618914e-01,7.551675969831511681e-01,1.520061498303530989e+01,5.014849556994588342e-01,1.764073390029138599e-01
1.300000000000000000e+01,1.233947585704836598e+02,2.332062527373437604e+02,2.259807141016869192e+00,-1.174216713345764274e-01,6.315059759289662900e-01,1.936389115229075841e+01,5.225192645840953665e-01,4.157733917406896129e-01
1.300000000000000000e+01,1.277573807268014008e+02,3.508138671382955636e+02,2.686038877818622606e+00,2.454050776625691169e-02,3.692271743513707016e-01,2.118459199750211397e+01,3.156079738906738541e-01,1.565544846278531299e+00
1.588596235403742085e+01,1.035681182274046108e+02,2.599542011758524609e+02,2.836373767067487339e+00,-1.655084511279641263e-02,4.146306123005290556e-01,1.793851472927017809e+01,3.857978778911861362e-01,1.364290406210125983e+00
1.302172128881476709e+01,8.052595184958812524e+01,2.013384494744817346e+02,3.329449068009316282e+00,-1.153170381572357767e-01,6.637721619183808430e-01,1.588330557029915369e+01,6.131249175694205578e-01,2.083099166847282857e-01
1.528261809616560818e+01,1.458145423161328154e+02,4.096806950454947582e+02,2.718749876904102081e+00,-5.107681818059662746e-03,2.722880729863747518e-01,2.168507317958605185e+01,2.486256979107767939e-01,1.741656689840202610e+00
1.300000000000000000e+01,6.020802876097337730e+01,1.553538720670537145e+02,3.765461927133418651e+00,-2.008686605139055337e-01,7.993787172999440305e-01,1.364901371697342825e+01,6.462211285230085034e-01,1.270074548781356949e-01
1.385491468335992771e+01,7.609945024984010331e+01,2.898788705347853352e+02,2.730097032457042161e+00,3.452685862591706872e-04,5.387365949408868815e-01,1.705834575316490032e+01,3.371127490172312613e-01,1.295679572188380035e+00
2.887997286995623014e+01,1.521014185250929529e+02,5.287123222080707592e+02,2.115182808301311557e+00,5.507846359483942016e-03,7.355222327393297066e-01,1.765945539516832952e+01,1.094692808075660023e-01,2.200352996936918437e+00
2.671515516849851934e+01,1.550000000000000000e+02,5.645908930387432747e+02,2.413284040949787990e+00,2.581270168934322179e-02,6.841446981634206059e-01,1.830141611980856098e+01,1.057136767514125081e-01,3.219657432440937050e+00
1.300423888780361281e+01,1.342682097313518739e+02,3.982189054120761966e+02,2.886372525733592376e+00,-2.648670091050916997e-02,2.431382052664402549e-01,2.158234059249351233e+01,3.545944951682073465e-01,1.628260707247989991e+00
1.462807884023308347e+01,6.063250905960175885e+01,2.202422011414963379e+02,3.234049652693833821e+00,-1.411318992355247437e-01,7.587990096121376427e-01,1.452432582748483725e+01,4.770073370213279151e-01,1.833974014616028547e-01
1.300000000000000178e+01,6.000000000000000000e+01,1.337581692777097260e+02,3.784171687586283639e+00,-2.190649536052561297e-01,7.606765194793284612e-01,1.282727861554577586e+01,7.367703414860832245e-01,1.132575384136149943e-01
1.300789144910147677e+01,1.429536983905114766e+02,4.004504067722253353e+02,2.888031845565623090e+00,1.615532279184644232e-02,4.033456587155923589e-01,2.233814911146730608e+01,2.794312673449286799e-01,1.685705088259717987e+00
1.300000000000000000e+01,1.228639576395575403e+02,2.459630349995120469e+02,2.128493982469207957e+00,-1.130987300587551481e-01,6.263702031949186511e-01,1.961421263414093374e+01,4.814412215602734690e-01,4.362239545085921932e-01
1.301656658009648559e+01,1.390330393815166872e+02,4.110511062382260548e+02,2.994994950914270149e+00,4.189537222376580813e-03,2.417395938799213606e-01,2.214855429371196749e+01,2.651305279061293985e-01,1.665832342947536127e+00
2.797745022624604161e+01,1.550000000000000000e+02,4.941384076870046442e+02,2.041727075188888296e+00,-4.582381486848441723e-03,7.369391967089125028e-01,1.819199925729759926e+01,1.209391840812157892e-01,2.150755079660934932e+00
1.300000000000000000e+01,6.055318849208074994e+01,1.274068588161771203e+02,4.000000000000000000e+00,-2.089432200093146452e-01,7.687355492056370254e-01,1.271633468219247121e+01,7.544664289943572300e-01,1.099753801442695106e-01
1.300000000000000000e+01,1.424811969564141805e+02,5.015645334969565283e+02,2.893459296518130053e+00,-1.051881389805725542e-02,3.761236236137985300e-01,2.259264489426214695e+01,2.192926829157881008e-01,1.804439423247018670e+00
1.348367262889917129e+01,6.179517211128828791e+01,2.204083090505938287e+02,3.204144686137513798e+00,-1.409940453211318556e-01,7.657976057355795341e-01,1.500125648195917272e+01,4.786314212305728955e-01,1.810212101706356602e-01
1.300616262587708860e+01,1.550000000000000000e+02,5.229595533921211654e+02,2.330781919751049536e+00,-2.032838026684152116e-02,3.835830142747213567e-01,2.342621086257284801e+01,2.152229669569496184e-01,1.989856574144896362e+00
1.855816757375471227e+01,1.405169982607908423e+02,5.766681693122311572e+02,2.071753893192513463e+00,-4.158525975604802916e-02,7.398400485497748091e-01,2.036667576463027984e+01,1.332505796987352442e-01,3.092795516214052132e+00
1.300000000000000000e+01,6.002768467208426273e+01,1.474591761629598921e+02,2.926093081300977783e+00,-1.326785403295366872e-01,7.441338154248443582e-01,1.403267838877165907e+01,5.680269129628477964e-01,1.289449932891250650e-01
1.382739346071672593e+01,7.699513876903496623e+01,2.866555083779787765e+02,2.765320469351624677e+00,2.088181968162631380e-03,5.037445481973276129e-01,1.709111127808747099e+01,3.378170444753428314e-01,1.294377915814585167e+00
