rt_mm,rm_mm,L_mm,n,bulgeA,bulgeX,G_speech_dB,DI14_dB,refl,vol_L,print_pen
2.847411626270964646e+01,1.550000000000000000e+02,5.401508696846506155e+02,2.633748330331392662e+00,-7.885878895728357096e-02,7.965399478277891410e-01,1.814016058896299199e+01,1.200320416544669477e+01,1.128252624135743787e-01,1.134464013296839546e+00,3.385822049774750653e+00
1.346870137139917745e+01,1.142591545538462583e+02,2.500282290735587196e+02,2.554207996264528990e+00,4.086866335897103297e-02,5.260265519805623624e-01,2.080060340561879784e+01,9.299809630945990335e+00,4.382550526457122952e-01,4.009732745564254519e-01,2.178591592195399329e+00
1.748545656085076061e+01,1.215158292357861427e+02,1.208345508002545188e+02,9.610813909079228834e-01,2.067838315879904354e-01,7.087348667089954368e-01,1.281104403002611036e+01,9.832684420269837133e+00,7.301846359950677767e-01,3.837366214510739559e-01,1.086310393428753240e+00
1.938446381829851006e+01,1.234705101597466808e+02,1.227899945229483052e+02,5.194896276863428808e-01,2.115463122392132467e-01,7.132056067766504581e-01,9.769618671369734386e+00,9.973511079539083113e+00,8.181341239891807282e-01,4.711658479243595044e-01,1.087707138944963070e+00
1.662586838208716600e+01,9.278635745556560721e+01,1.606974052534554289e+02,1.539084333121100601e+00,9.490691463351325075e-02,3.680525750871617707e-01,1.611223692543523711e+01,7.570191309524247458e+00,5.550946894816265464e-01,2.781337670875138057e-01,1.114783860895325329e+00
1.443561705375030613e+01,6.605800821244476140e+01,1.200000000000000000e+02,1.080257742883935723e+00,-2.041147841466529611e-01,2.000000000000000111e-01,1.410325512563426642e+01,5.055981227809462020e+00,6.261209012796330464e-01,1.584975999517128087e-01,1.085714285714285632e+00
2.726415798921543399e+01,1.550000000000000000e+02,5.747730424861470055e+02,2.316039014428118215e+00,-2.964453029864806688e-02,7.947790368278579987e-01,1.853395714921913751e+01,1.200320416544669477e+01,9.742740758876768103e-02,1.247370313254750673e+00,3.410552173204390858e+00
1.746616659828361051e+01,1.101467538605365917e+02,1.200000000000000000e+02,9.656708008240805219e-01,2.069240252508497135e-01,7.086902563662416110e-01,1.273453086531445066e+01,8.989933395028506524e+00,7.033380131200100971e-01,3.335173620121990590e-01,1.085714285714285632e+00
1.225753905431430724e+01,8.467829813095988811e+01,2.130297397010378120e+02,1.956373586154676714e+00,2.310073169532230186e-01,7.191155398453631387e-01,1.872083948232064898e+01,6.837422900192914099e+00,5.396310124393229879e-01,2.922885343658612189e-01,1.152164099786455509e+00
2.048067157797215998e+01,7.941130611652320681e+01,1.740586212311338556e+02,1.884569641884317193e+00,6.696838819140055188e-02,2.227740897684461763e-01,1.488290519390245237e+01,6.346542884993070288e+00,3.876719001366166206e-01,2.474017967437449339e-01,1.124327586593667050e+00
1.440885630739424883e+01,6.866622497394814673e+01,1.215946494585491422e+02,1.129293317511360195e+00,-1.050142402745800063e-01,2.195137667944676019e-01,1.401833302182442154e+01,5.315036470057344253e+00,5.660392400234612875e-01,1.659840811833592222e-01,1.086853321041820752e+00
1.045771541921907755e+01,9.930855789130940536e+01,1.996862006283697326e+02,1.130444876245424002e+00,1.642017868018998961e-01,5.788576871455282102e-01,1.745321692366819732e+01,8.129134157638677749e+00,6.532151984706190406e-01,3.860053827931830273e-01,1.142633000448835645e+00
2.729883866602752462e+01,1.543201412789574363e+02,5.467383939747933255e+02,2.952657281756923879e+00,-1.020213462476889793e-01,8.000000000000000444e-01,1.833197531367370203e+01,1.196420219375914940e+01,1.251336827747788205e-01,1.082994789503471722e+00,3.390527424267709478e+00
1.084597698084682449e+01,8.083341233456442865e+01,2.213021021891617579e+02,1.946850754271015616e+00,2.155753193912030019e-01,7.315087919901770430e-01,1.954672479334650603e+01,6.479971015722780336e+00,5.303996154057653012e-01,2.805180383263577992e-01,1.158072930135115586e+00
1.557867284594902557e+01,7.591593237825034635e+01,1.310198696843526420e+02,6.689686022485920036e-01,-9.980276090861668614e-02,2.148563984023049434e-01,1.184686331408281390e+01,6.015890963596435270e+00,6.487628546858941192e-01,2.286594231071692740e-01,1.093585621203108982e+00
9.207389327517249811e+00,1.454845200011768327e+02,5.800000000000000000e+02,2.401802695545509181e+00,-6.628495266885785046e-03,6.336293032376529855e-01,2.754014076836619651e+01,1.144306746973867028e+01,2.098833745136994278e-01,9.622760823267872965e-01,3.414285714285714590e+00
1.409364257921000707e+01,1.438741114499262324e+02,4.695640139276069362e+02,2.843368143871706888e+00,-1.352593520095544122e-01,7.924885295215990944e-01,2.359364041847970839e+01,1.134435139580812013e+01,2.444170117250428487e-01,7.680171481400897004e-01,2.335402867091147971e+00
1.116106160539429126e+01,1.297353174888933722e+02,4.503900620630938647e+02,2.573547018872388570e+00,-1.008135868842185978e-01,6.354214090428714767e-01,2.454672803466534958e+01,1.041587248515179809e+01,3.042317883511045373e-01,6.628357167935220451e-01,2.321707187187924237e+00
1.123135538333955630e+01,1.348397167632643914e+02,3.358290234404191779e+02,2.558999095630417830e+00,-5.136129677463735499e-02,6.744630450586363013e-01,2.414925583218576932e+01,1.076365694846416154e+01,3.608961078917483078e-01,5.646639352487519137e-01,2.239877873886013671e+00
1.628616636305870813e+01,1.024606238150011706e+02,1.622530245924787664e+02,1.547807068608920256e+00,1.012608347448682167e-01,2.581839534683422754e-01,1.648149039480770739e+01,8.387669096896340548e+00,5.845425813711205842e-01,3.106290649145093119e-01,1.115895017566056246e+00
1.676984704147473337e+01,7.389635703061257743e+01,1.312748546014710200e+02,8.023382123200656357e-01,-9.045854088380196611e-02,2.000000000000000111e-01,1.246555734182950737e+01,5.822948814930467343e+00,5.710597190193656969e-01,2.140172593152462055e-01,1.093767753286765121e+00
1.119794792232197977e+01,1.162063693499020474e+02,1.200000000000000000e+02,6.391227748250871699e-01,1.725216607708020544e-01,5.483635178344181682e-01,1.067285939452287380e+01,9.444379189073700331e+00,9.047456775013643648e-01,3.954244836704418065e-01,1.085714285714285632e+00
1.140450582186392126e+01,1.445862520419415489e+02,3.507924086889003092e+02,2.595899940052560417e+00,-5.140513328234720680e-02,6.742063034502775443e-01,2.461056208462234451e+01,1.138817266296714159e+01,3.475924719589814083e-01,6.295968662450204256e-01,2.250566006206357272e+00
1.553216033709393429e+01,7.156502061532789583e+01,1.200000000000000000e+02,8.004682789580914726e-01,-9.668030790934963037e-02,2.194081165685545509e-01,1.219164050236604169e+01,5.598187033880897445e+00,6.104658878708794090e-01,1.900887051773494929e-01,1.085714285714285632e+00
1.125841294984022234e+01,1.343093990257939652e+02,3.054846688920910651e+02,2.577688992422784597e+00,-5.110307554455387202e-02,6.712101915331830648e-01,2.365704786165493800e+01,1.072814127830825370e+01,3.974338219064609823e-01,5.252114415095006095e-01,2.218203334922922210e+00
1.573289480372931237e+01,7.792936983739431867e+01,1.327488666365852339e+02,6.277140639805764977e-01,-8.142649210004036797e-02,2.185296366521076172e-01,1.152734136412641774e+01,6.206833443787614257e+00,6.710665751297913983e-01,2.425108759288570615e-01,1.094820619026132258e+00
1.910051983049968882e+01,1.228830438077165752e+02,1.835101388008684751e+02,7.291471230668331582e-01,2.065160770611505769e-01,7.707829111789427090e-01,1.305859318573036454e+01,9.931312473723945544e+00,6.823540244075722017e-01,5.481187357351310352e-01,1.131078670572049027e+00
1.634101710521307993e+01,9.299272144150138786e+01,1.673031027993070268e+02,1.625945549054678363e+00,8.075998220658975324e-02,2.434451379064542786e-01,1.651059284739492128e+01,7.588349524700933380e+00,5.212827017480251568e-01,2.798338621129652926e-01,1.119502216285219287e+00
9.689041190151439054e+00,1.123922888850495951e+02,1.421010485347050292e+02,8.665403629610380909e-01,1.459096648539921492e-01,5.052359051271488877e-01,1.341339171298568900e+01,9.159971167753878873e+00,8.559020441391620437e-01,3.739379740679610875e-01,1.101500748953360809e+00
1.074769490515630466e+01,9.615624178544310041e+01,1.995877716747766044e+02,1.298846501654220553e+00,1.643407648789460274e-01,5.759156530524648376e-01,1.819382663147192858e+01,7.862956969005660213e+00,6.149748576149939305e-01,3.556038147816927841e-01,1.142562694053411931e+00
9.047559314584180612e+00,1.523167841550371122e+02,5.298967995727361995e+02,2.538625248758447306e+00,-9.594760733420594143e-03,5.623713296637060655e-01,2.804318997852022832e+01,1.184853969477451407e+01,2.256264996237872522e-01,9.077608640351995106e-01,2.378497713980525674e+00
1.826173669607249295e+01,1.398857648007119394e+02,5.416425210087480764e+02,3.595534846640555671e+00,-4.222629280883687108e-02,7.333752172910062983e-01,2.101990731495882514e+01,1.109374178163657199e+01,1.755813513446161933e-01,8.282651365602240467e-01,3.386887515006248517e+00
9.000000000000000000e+00,1.137903200607523928e+02,1.377075609849149487e+02,8.256216330134509285e-01,1.380406555375233990e-01,5.082221182338266807e-01,1.296323327349364973e+01,9.264810689537432253e+00,8.854047556308858313e-01,3.747357028766192810e-01,1.098362543560653659e+00
1.111566079149508290e+01,1.077269183992011676e+02,1.995884033875261707e+02,1.051036296992314378e+00,1.583916975908071234e-01,5.859693696397749729e-01,1.693781508776415023e+01,8.804060380555132070e+00,6.775234734153120497e-01,4.340820695023253628e-01,1.142563145276804359e+00
1.195704867246992364e+01,1.196955893976260796e+02,3.178429547577574112e+02,2.364224694512634617e+00,2.549757812998700024e-02,5.343962070155023891e-01,2.282225225817867198e+01,9.700500296134860534e+00,3.617351707507874825e-01,5.051964457910125272e-01,2.227030681969826897e+00
1.940964196185566593e+01,1.496441290102969788e+02,5.515669994802157134e+02,3.054472237143210034e+00,-5.728020168387521621e-02,7.194802700307812993e-01,2.119494680896420391e+01,1.169220971552094035e+01,1.468376707213782106e-01,9.589320262245084603e-01,3.393976428200153883e+00
1.254589884357380569e+01,1.267374459150967567e+02,4.156465361585752589e+02,2.631716104724500571e+00,-8.842641556228955646e-02,7.212508438750194761e-01,2.352022144233130874e+01,1.020605096573030401e+01,2.749560765771116855e-01,6.200865433230179358e-01,2.296890382970410815e+00
1.523318303714161992e+01,6.219397273352192457e+01,1.200000000000000000e+02,1.690136146273585771e+00,-5.454456849148547198e-02,2.000000000000000111e-01,1.455377406754644554e+01,4.662905195981783102e+00,5.389715849803508041e-01,1.361001983386050107e-01,1.085714285714285632e+00
9.000000000000000000e+00,1.416505112128124608e+02,3.833762611918299967e+02,2.472709161614749629e+00,-2.595835632943916185e-02,6.434832055964132547e-01,2.658812771147697518e+01,1.120573913785419684e+01,3.304651234193003440e-01,6.536601235386467756e-01,2.273840186565593058e+00
